date,value
2017-03-27,5197
2017-03-28,9744
2017-03-29,8283
2017-03-30,8536
2017-03-31,9902
2017-04-01,7877
2017-04-02,6705
2017-04-03,7174
2017-04-04,8177
2017-04-05,8936
2017-04-06,10376
2017-04-07,8623
2017-04-08,8623
2017-04-09,6502
2017-04-10,6294
2017-04-11,8446
2017-04-12,10830
2017-04-13,10326
2017-04-14,9072
2017-04-15,8490
2017-04-16,7497
2017-04-17,7220
2017-04-18,8909
2017-04-19,11266
2017-04-20,10062
2017-04-21,9111
2017-04-22,8156
2017-04-23,7671
2017-04-24,8673
2017-04-25,11494
2017-04-26,12533
2017-04-27,11995
2017-04-28,11147
2017-04-29,8522
2017-04-30,8517
2017-05-01,8728
2017-05-02,10997
2017-05-03,11506
2017-05-04,13333
2017-05-05,13359
2017-05-06,10077
2017-05-07,9601
2017-05-08,10371
2017-05-09,10938
2017-05-10,13222
2017-05-11,13492
2017-05-12,12590
2017-05-13,10079
2017-05-14,9890
2017-05-15,10844
2017-05-16,13456
2017-05-17,14622
2017-05-18,16297
2017-05-19,12388
2017-05-20,12386
2017-05-21,10709
2017-05-22,13195
2017-05-23,11853
2017-05-24,13478
2017-05-25,14197
2017-05-26,11682
2017-05-27,11636
2017-05-28,10412
2017-05-29,11798
2017-05-30,13643
2017-05-31,16831
2017-06-01,16380
2017-06-02,13859
2017-06-03,11890
2017-06-04,12286
2017-06-05,10946
2017-06-06,15748
2017-06-07,16744
2017-06-08,15567
2017-06-09,13324
2017-06-10,14739
2017-06-11,12271
2017-06-12,14091
2017-06-13,12903
2017-06-14,15542
2017-06-15,16611
2017-06-16,15649
2017-06-17,13494
2017-06-18,13561
2017-06-19,12332
2017-06-20,14896
2017-06-21,16795
2017-06-22,17648
2017-06-23,16835
2017-06-24,13333
2017-06-25,11911
2017-06-26,15178
2017-06-27,15863
2017-06-28,16412
2017-06-29,19163
2017-06-30,16709
2017-07-01,16100
2017-07-02,13968
2017-07-03,16408
2017-07-04,17725
2017-07-05,17343
2017-07-06,19006
2017-07-07,17653
2017-07-08,16695
2017-07-09,13333
2017-07-10,15422
2017-07-11,17408
2017-07-12,16204
2017-07-13,17213
2017-07-14,15322
2017-07-15,15401
2017-07-16,15350
2017-07-17,16563
2017-07-18,16740
2017-07-19,19898
2017-07-20,17313
2017-07-21,15945
2017-07-22,15893
2017-07-23,15284
2017-07-24,15286
2017-07-25,14847
2017-07-26,18418
2017-07-27,17618
2017-07-28,18537
2017-07-29,16523
2017-07-30,14159
2017-07-31,14994
2017-08-01,16033
2017-08-02,18613
2017-08-03,20035
2017-08-04,17029
2017-08-05,16798
2017-08-06,14696
2017-08-07,14831
2017-08-08,17092
2017-08-09,17737
2017-08-10,18612
2017-08-11,16892
2017-08-12,18324
2017-08-13,15316
2017-08-14,14969
2017-08-15,17447
2017-08-16,18683
2017-08-17,18958
2017-08-18,18707
2017-08-19,17110
2017-08-20,14733
2017-08-21,15065
2017-08-22,16920
2017-08-23,16446
2017-08-24,17606
2017-08-25,19392
2017-08-26,17919
2017-08-27,14926
2017-08-28,16119
2017-08-29,17398
2017-08-30,21708
2017-08-31,20112
2017-09-01,17759
2017-09-02,15171
2017-09-03,13411
2017-09-04,15579
2017-09-05,16154
2017-09-06,17021
2017-09-07,18151
2017-09-08,16601
2017-09-09,17600
2017-09-10,15676
2017-09-11,15136
2017-09-12,18149
2017-09-13,18271
2017-09-14,17678
2017-09-15,18938
2017-09-16,16176
2017-09-17,13473
2017-09-18,14661
2017-09-19,15493
2017-09-20,16502
2017-09-21,19148
2017-09-22,19000
2017-09-23,13905
2017-09-24,14733
2017-09-25,13852
2017-09-26,15526
2017-09-27,16929
2017-09-28,16988
2017-09-29,16761
2017-09-30,14088
2017-10-01,14049
2017-10-02,14055
2017-10-03,15369
2017-10-04,16203
2017-10-05,16858
2017-10-06,17045
2017-10-07,14991
2017-10-08,12366
2017-10-09,13764
2017-10-10,15913
2017-10-11,14989
2017-10-12,17521
2017-10-13,15165
2017-10-14,14594
2017-10-15,12108
2017-10-16,11383
2017-10-17,13054
2017-10-18,16222
2017-10-19,16748
2017-10-20,14430
2017-10-21,14165
2017-10-22,10710
2017-10-23,12618
2017-10-24,12963
2017-10-25,15011
2017-10-26,16022
2017-10-27,13957
2017-10-28,12623
2017-10-29,12856
2017-10-30,11583
2017-10-31,14484
2017-11-01,14006
2017-11-02,15975
2017-11-03,15728
2017-11-04,10003
2017-11-05,10519
2017-11-06,12203
2017-11-07,12909
2017-11-08,14970
2017-11-09,14305
2017-11-10,13836
2017-11-11,11782
2017-11-12,11947
2017-11-13,11343
2017-11-14,12913
2017-11-15,13651
2017-11-16,13886
2017-11-17,12783
2017-11-18,11799
2017-11-19,9826
2017-11-20,10848
2017-11-21,14122
2017-11-22,14407
2017-11-23,13522
2017-11-24,13893
2017-11-25,10475
2017-11-26,7690
2017-11-27,9034
2017-11-28,9663
2017-11-29,12675
2017-11-30,13360
2017-12-01,13865
2017-12-02,10711
2017-12-03,9013
2017-12-04,10379
2017-12-05,8835
2017-12-06,12778
2017-12-07,13633
2017-12-08,10235
2017-12-09,11057
2017-12-10,9105
2017-12-11,8674
2017-12-12,11223
2017-12-13,14362
2017-12-14,12599
2017-12-15,11523
2017-12-16,9020
2017-12-17,7489
2017-12-18,9498
2017-12-19,9318
2017-12-20,11754
2017-12-21,11536
2017-12-22,11357
2017-12-23,9424
2017-12-24,8994
2017-12-25,7782
2017-12-26,9536
2017-12-27,10342
2017-12-28,11216
2017-12-29,10909
2017-12-30,9508
2017-12-31,6703
2018-01-01,8838
2018-01-02,10846
2018-01-03,11428
2018-01-04,13238
2018-01-05,9467
2018-01-06,7224
2018-01-07,5573
2018-01-08,9200
2018-01-09,9889
2018-01-10,10711
2018-01-11,11402
2018-01-12,8886
2018-01-13,10694
2018-01-14,7269
2018-01-15,7611
2018-01-16,9767
2018-01-17,11064
2018-01-18,11172
2018-01-19,9057
2018-01-20,8565
2018-01-21,8877
2018-01-22,8711
2018-01-23,10509
2018-01-24,9956
2018-01-25,9853
2018-01-26,9625
2018-01-27,8063
2018-01-28,8013
2018-01-29,5608
2018-01-30,10390
2018-01-31,10264
2018-02-01,10380
2018-02-02,8714
2018-02-03,6338
2018-02-04,7738
2018-02-05,7379
2018-02-06,7586
2018-02-07,9153
2018-02-08,10508
2018-02-09,11442
2018-02-10,7791
2018-02-11,5479
2018-02-12,7138
2018-02-13,8692
2018-02-14,7850
2018-02-15,10899
2018-02-16,9661
2018-02-17,8876
2018-02-18,8971
2018-02-19,8661
2018-02-20,8856
2018-02-21,9611
2018-02-22,13707
2018-02-23,10143
2018-02-24,8395
2018-02-25,7309
2018-02-26,7953
2018-02-27,9212
2018-02-28,10385
2018-03-01,10838
2018-03-02,10311
2018-03-03,8108
2018-03-04,6901
2018-03-05,8151
2018-03-06,9401
2018-03-07,12771
2018-03-08,9052
2018-03-09,11763
2018-03-10,10234
2018-03-11,5886
2018-03-12,8058
2018-03-13,9648
2018-03-14,10233
2018-03-15,11307
2018-03-16,9952
2018-03-17,11140
2018-03-18,9303
2018-03-19,10088
2018-03-20,11166
2018-03-21,10944
2018-03-22,12002
2018-03-23,12001
2018-03-24,8622
2018-03-25,9545
2018-03-26,9049
2018-03-27,10550
2018-03-28,13272
2018-03-29,13465
2018-03-30,11652
2018-03-31,11513
2018-04-01,8267
2018-04-02,10428
2018-04-03,12047
2018-04-04,12787
2018-04-05,13889
2018-04-06,11311
2018-04-07,11832
2018-04-08,9723
2018-04-09,9855
2018-04-10,13075
2018-04-11,12970
2018-04-12,12737
2018-04-13,11593
2018-04-14,12107
2018-04-15,9226
2018-04-16,12735
2018-04-17,10551
2018-04-18,15982
2018-04-19,14972
2018-04-20,13673
2018-04-21,11579
2018-04-22,11533
2018-04-23,11574
2018-04-24,14370
2018-04-25,15037
2018-04-26,15552
2018-04-27,14049
2018-04-28,12714
2018-04-29,12090
2018-04-30,10552
2018-05-01,12572
2018-05-02,16322
2018-05-03,16230
2018-05-04,14888
2018-05-05,13450
2018-05-06,12792
2018-05-07,12386
2018-05-08,13806
2018-05-09,16439
2018-05-10,15746
2018-05-11,16146
2018-05-12,12395
2018-05-13,14139
2018-05-14,14064
2018-05-15,15506
2018-05-16,17891
2018-05-17,19055
2018-05-18,17416
2018-05-19,12919
2018-05-20,12493
2018-05-21,13627
2018-05-22,15935
2018-05-23,18083
2018-05-24,17319
2018-05-25,17242
2018-05-26,14656
2018-05-27,13809
2018-05-28,13492
2018-05-29,15629
2018-05-30,16855
2018-05-31,17706
2018-06-01,18743
2018-06-02,15093
2018-06-03,17681
2018-06-04,16015
2018-06-05,17357
2018-06-06,17964
2018-06-07,19994
2018-06-08,17721
2018-06-09,16767
2018-06-10,18206
2018-06-11,16019
2018-06-12,18909
2018-06-13,18702
2018-06-14,19836
2018-06-15,20639
2018-06-16,16584
2018-06-17,18019
2018-06-18,17377
2018-06-19,17746
2018-06-20,20579
2018-06-21,21379
2018-06-22,20019
2018-06-23,16163
2018-06-24,15995
2018-06-25,16931
2018-06-26,18736
2018-06-27,21062
2018-06-28,21072
2018-06-29,18542
2018-06-30,18586
2018-07-01,17798
2018-07-02,18195
2018-07-03,20340
2018-07-04,21717
2018-07-05,21786
2018-07-06,20232
2018-07-07,16961
2018-07-08,18025
2018-07-09,18242
2018-07-10,19922
2018-07-11,19988
2018-07-12,20619
2018-07-13,21719
2018-07-14,18938
2018-07-15,18623
2018-07-16,18400
2018-07-17,20008
2018-07-18,22521
2018-07-19,21493
2018-07-20,21062
2018-07-21,18805
2018-07-22,17787
2018-07-23,18333
2018-07-24,20461
2018-07-25,21355
2018-07-26,23506
2018-07-27,20302
2018-07-28,19302
2018-07-29,17993
2018-07-30,20290
2018-07-31,20626
2018-08-01,23046
2018-08-02,20935
2018-08-03,21624
2018-08-04,20528
2018-08-05,18655
2018-08-06,20038
2018-08-07,20032
2018-08-08,23533
2018-08-09,24818
2018-08-10,21083
2018-08-11,19271
2018-08-12,20093
2018-08-13,20610
2018-08-14,20073
2018-08-15,21740
2018-08-16,22264
2018-08-17,20117
2018-08-18,18804
2018-08-19,17631
2018-08-20,18247
2018-08-21,20536
2018-08-22,22359
2018-08-23,24051
2018-08-24,20408
2018-08-25,20641
2018-08-26,18345
2018-08-27,18880
2018-08-28,21150
2018-08-29,20896
2018-08-30,22767
2018-08-31,21447
2018-09-01,20014
2018-09-02,18703
2018-09-03,21230
2018-09-04,19673
2018-09-05,21314
2018-09-06,21578
2018-09-07,20532
2018-09-08,18682
2018-09-09,19392
2018-09-10,19974
2018-09-11,19510
2018-09-12,20774
2018-09-13,22425
2018-09-14,20279
2018-09-15,19687
2018-09-16,18132
2018-09-17,16756
2018-09-18,21338
2018-09-19,23103
2018-09-20,21034
2018-09-21,20128
2018-09-22,19017
2018-09-23,17933
2018-09-24,18591
2018-09-25,21454
2018-09-26,20777
2018-09-27,20487
2018-09-28,18768
2018-09-29,17624
2018-09-30,17182
2018-10-01,19338
2018-10-02,18530
2018-10-03,20775
2018-10-04,20860
2018-10-05,20920
2018-10-06,20460
2018-10-07,16257
2018-10-08,16620
2018-10-09,19652
2018-10-10,20788
2018-10-11,22272
2018-10-12,19860
2018-10-13,17113
2018-10-14,16913
2018-10-15,17748
2018-10-16,18953
2018-10-17,20134
2018-10-18,21008
2018-10-19,19957
2018-10-20,18363
2018-10-21,16475
2018-10-22,15972
2018-10-23,17776
2018-10-24,20326
2018-10-25,18615
2018-10-26,18644
2018-10-27,16072
2018-10-28,15336
2018-10-29,16897
2018-10-30,17298
2018-10-31,18641
2018-11-01,17545
2018-11-02,18492
2018-11-03,16580
2018-11-04,16939
2018-11-05,14777
2018-11-06,16791
2018-11-07,18308
2018-11-08,19946
2018-11-09,17114
2018-11-10,15676
2018-11-11,14846
2018-11-12,14735
2018-11-13,15589
2018-11-14,17716
2018-11-15,18906
2018-11-16,15647
2018-11-17,14995
2018-11-18,13005
2018-11-19,15211
2018-11-20,13981
2018-11-21,16434
2018-11-22,17682
2018-11-23,17714
2018-11-24,14273
2018-11-25,12628
2018-11-26,15378
2018-11-27,13540
2018-11-28,14280
2018-11-29,17234
2018-11-30,15139
2018-12-01,12813
2018-12-02,13391
2018-12-03,13243
2018-12-04,13930
2018-12-05,14710
2018-12-06,17181
2018-12-07,15810
2018-12-08,13259
2018-12-09,14058
2018-12-10,11462
2018-12-11,12507
2018-12-12,14841
2018-12-13,15811
2018-12-14,14957
2018-12-15,12676
2018-12-16,12128
2018-12-17,10852
2018-12-18,15053
2018-12-19,15034
2018-12-20,16563
2018-12-21,14652
2018-12-22,12976
2018-12-23,11954
2018-12-24,12167
2018-12-25,13874
2018-12-26,16075
2018-12-27,15280
2018-12-28,14662
2018-12-29,12082
2018-12-30,12484
2018-12-31,10710
2019-01-01,14708
2019-01-02,14388
2019-01-03,13343
2019-01-04,13781
2019-01-05,11198
2019-01-06,11600
2019-01-07,10458
2019-01-08,12193
2019-01-09,12280
2019-01-10,14072
2019-01-11,10988
2019-01-12,10063
2019-01-13,11297
2019-01-14,11682
2019-01-15,12860
2019-01-16,13008
2019-01-17,14291
2019-01-18,13232
2019-01-19,10322
2019-01-20,11883
2019-01-21,11626
2019-01-22,12076
2019-01-23,13874
2019-01-24,14429
2019-01-25,11085
2019-01-26,11134
2019-01-27,9609
2019-01-28,9669
2019-01-29,11948
2019-01-30,15586
2019-01-31,14813
2019-02-01,12518
2019-02-02,11926
2019-02-03,11673
2019-02-04,11588
2019-02-05,12291
2019-02-06,13155
2019-02-07,14894
2019-02-08,13517
2019-02-09,12294
2019-02-10,10964
2019-02-11,11778
2019-02-12,11772
2019-02-13,15205
2019-02-14,14490
2019-02-15,15305
2019-02-16,10826
2019-02-17,12192
2019-02-18,11064
2019-02-19,11804
2019-02-20,13562
2019-02-21,14140
2019-02-22,13832
2019-02-23,12226
2019-02-24,10080
2019-02-25,11050
2019-02-26,14816
2019-02-27,16002
2019-02-28,15135
2019-03-01,13694
2019-03-02,12082
2019-03-03,11536
2019-03-04,10329
2019-03-05,12704
2019-03-06,12903
2019-03-07,15404
2019-03-08,14619
2019-03-09,11804
2019-03-10,12831
2019-03-11,10470
2019-03-12,11850
2019-03-13,15158
2019-03-14,16423
2019-03-15,16036
2019-03-16,12217
2019-03-17,12733
2019-03-18,12063
2019-03-19,13556
2019-03-20,16239
2019-03-21,16459
2019-03-22,13215
2019-03-23,14599
2019-03-24,13489
2019-03-25,11939
2019-03-26,14595
2019-03-27,16328
2019-03-28,16553
2019-03-29,14734
2019-03-30,12951
2019-03-31,12591
2019-04-01,14251
2019-04-02,15263
2019-04-03,15991
2019-04-04,17598
2019-04-05,12976
2019-04-06,15318
2019-04-07,11429
2019-04-08,13275
2019-04-09,14165
2019-04-10,15637
2019-04-11,18563
2019-04-12,15938
2019-04-13,15103
2019-04-14,13714
2019-04-15,14711
2019-04-16,15962
2019-04-17,16255
2019-04-18,19009
2019-04-19,16527
2019-04-20,13818
2019-04-21,13955
2019-04-22,16361
2019-04-23,17366
2019-04-24,17823
2019-04-25,18300
2019-04-26,17339
2019-04-27,18095
2019-04-28,15411
2019-04-29,15939
2019-04-30,18197
2019-05-01,19063
2019-05-02,19046
2019-05-03,18121
2019-05-04,16605
2019-05-05,15652
2019-05-06,16898
2019-05-07,17881
2019-05-08,20221
2019-05-09,19889
2019-05-10,19061
2019-05-11,15344
2019-05-12,17271
2019-05-13,17183
2019-05-14,19493
2019-05-15,17258
2019-05-16,22723
2019-05-17,19508
2019-05-18,19114
2019-05-19,15979
2019-05-20,18111
2019-05-21,18103
2019-05-22,20189
2019-05-23,23207
2019-05-24,20113
2019-05-25,18878
2019-05-26,18540
2019-05-27,18644
2019-05-28,19953
2019-05-29,21822
2019-05-30,24337
2019-05-31,20884
2019-06-01,19496
2019-06-02,19353
2019-06-03,19882
2019-06-04,21615
2019-06-05,22717
2019-06-06,21408
2019-06-07,23188
2019-06-08,18757
2019-06-09,19208
2019-06-10,18621
2019-06-11,20957
2019-06-12,22996
2019-06-13,23456
2019-06-14,22555
2019-06-15,22090
2019-06-16,19927
2019-06-17,19693
2019-06-18,22542
2019-06-19,24407
2019-06-20,22451
2019-06-21,23268
2019-06-22,21709
2019-06-23,19700
2019-06-24,21830
2019-06-25,21938
2019-06-26,23846
2019-06-27,24002
2019-06-28,23175
2019-06-29,20393
2019-06-30,19032
2019-07-01,22516
2019-07-02,21700
2019-07-03,23180
2019-07-04,22464
2019-07-05,22955
2019-07-06,20593
2019-07-07,22532
2019-07-08,22341
2019-07-09,22261
2019-07-10,26817
2019-07-11,25984
2019-07-12,23645
2019-07-13,19783
2019-07-14,23539
2019-07-15,20290
2019-07-16,21642
2019-07-17,25917
2019-07-18,27762
2019-07-19,25665
2019-07-20,23148
2019-07-21,22135
2019-07-22,22816
2019-07-23,24320
2019-07-24,25439
2019-07-25,25680
2019-07-26,24462
2019-07-27,22064
2019-07-28,21483
2019-07-29,20483
2019-07-30,23666
2019-07-31,24363
2019-08-01,24656
2019-08-02,24878
2019-08-03,24373
2019-08-04,22835
2019-08-05,20748
2019-08-06,22907
2019-08-07,26414
2019-08-08,24889
2019-08-09,24574
2019-08-10,23622
2019-08-11,21029
2019-08-12,22494
2019-08-13,22623
2019-08-14,24922
2019-08-15,26230
2019-08-16,23235
2019-08-17,23531
2019-08-18,21986
2019-08-19,22939
2019-08-20,24168
2019-08-21,26864
2019-08-22,26003
2019-08-23,24355
2019-08-24,23160
2019-08-25,22485
2019-08-26,22362
2019-08-27,23901
2019-08-28,24705
2019-08-29,25111
2019-08-30,23269
2019-08-31,24664
2019-09-01,20565
2019-09-02,21478
2019-09-03,22990
2019-09-04,26140
2019-09-05,25307
2019-09-06,25738
2019-09-07,22050
2019-09-08,21888
2019-09-09,21126
2019-09-10,25635
2019-09-11,23830
2019-09-12,25676
2019-09-13,24879
2019-09-14,22883
2019-09-15,21161
2019-09-16,21560
2019-09-17,23254
2019-09-18,24582
2019-09-19,26033
2019-09-20,26151
2019-09-21,21599
2019-09-22,19655
2019-09-23,21273
2019-09-24,25453
2019-09-25,23581
2019-09-26,26356
2019-09-27,25258
2019-09-28,21236
2019-09-29,21220
2019-09-30,22608
2019-10-01,22106
2019-10-02,23786
2019-10-03,23734
2019-10-04,22158
2019-10-05,20726
2019-10-06,19007
2019-10-07,20588
2019-10-08,21283
2019-10-09,23786
2019-10-10,22317
2019-10-11,23055
2019-10-12,21755
2019-10-13,17778
2019-10-14,20463
2019-10-15,22812
2019-10-16,21868
2019-10-17,25066
2019-10-18,22660
2019-10-19,19729
2019-10-20,19224
2019-10-21,20152
2019-10-22,21161
2019-10-23,23114
2019-10-24,21967
2019-10-25,21901
2019-10-26,18508
2019-10-27,18654
2019-10-28,18173
2019-10-29,19829
2019-10-30,23289
2019-10-31,23455
2019-11-01,21814
2019-11-02,18301
2019-11-03,17919
2019-11-04,19758
2019-11-05,20173
2019-11-06,23838
2019-11-07,22221
2019-11-08,20861
2019-11-09,18548
2019-11-10,17832
2019-11-11,17855
2019-11-12,20203
2019-11-13,21938
2019-11-14,20505
2019-11-15,18802
2019-11-16,16485
2019-11-17,17671
2019-11-18,16370
2019-11-19,16809
2019-11-20,20839
2019-11-21,23254
2019-11-22,19599
2019-11-23,18633
2019-11-24,16721
2019-11-25,16853
2019-11-26,19361
2019-11-27,19643
2019-11-28,20515
2019-11-29,19415
2019-11-30,16619
2019-12-01,17126
2019-12-02,16275
2019-12-03,17188
